OBJECT_NAME,NORAD_CAT_ID,INCLINATION,ECCENTRICITY,RAAN,ARGUMENT_OF_PERIGEE,MEAN_ANOMALY,MEAN_MOTION,DRAG,LAUNCH_DATE,DECAY_DATE,ACTUAL_LIFETIME,LIFETIME_CLASS
SCOUT X-3 R/B,519,90.59130096435547,0.0009182000067085028,229.77040100097656,131.44320678710938,228.93130493164062,16.39184802,0.004651099909096956,1962-12-19,1989-10-21,27,3
THOR AGENA D R/B,520,70.18779754638672,0.0032124000135809183,19.129199981689453,223.84039306640625,136.01600646972656,16.37533341,0.0,1962-12-13,1968-03-24,6,2
SCOUT X-3 DEB [YO],523,90.41699981689453,0.0012768999440595508,200.65179443359375,87.65519714355469,272.6328125,15.93161822,0.011327999643981457,1962-12-19,1980-11-30,18,3
THOR ABLESTAR DEB,531,66.00019836425781,9.999999974752427e-07,192.3903045654297,167.6094970703125,192.50430297851562,16.24912236,0.0,1961-06-29,1971-04-15,10,2
SCOUT X-3M R/B,534,100.41169738769531,0.0010028999531641603,346.1015930175781,270.56329345703125,89.60579681396484,16.40391583,0.0004545399860944599,1963-02-19,1984-05-29,21,3
SCOUT X-3M DEB,535,100.35810089111328,0.002225999953225255,325.55230712890625,316.1332092285156,43.805198669433594,16.14925391,0.0,1963-02-19,1969-06-29,6,2
SCOUT X-3M DEB,536,100.47149658203125,0.002152099972590804,270.35479736328125,282.6332092285156,77.24620056152344,15.71664524,0.0,1963-02-19,1978-07-18,15,2
THOR ABLESTAR DEB,539,66.90650177001953,0.00188770005479455,57.97489929199219,144.1020965576172,221.25390625,16.05283545,0.0376180000603199,1961-06-29,1991-02-24,30,3
THOR ABLESTAR DEB,540,66.79090118408203,0.002929900074377656,357.6199951171875,302.5609130859375,57.45209884643555,15.84904372,0.05406299978494644,1961-06-29,1991-08-20,30,3
THOR ABLESTAR DEB,542,68.06790161132812,0.0029192999936640263,32.50849914550781,244.15359497070312,114.26499938964844,15.97837586,0.016383999958634377,1961-06-29,1991-07-06,30,3
